IDX,X,Y,TYPE,SPEED,DirType,Direction,Distance,Angle // 21.08.2020_OpenSpeedcam =>> 7 Ways v 2.0
1,27.773153,53.82692,210,30,1,237,150,15
2,27.769071,53.825489,210,30,2,66,150,28
3,27.718157,53.842083,202,80,1,129,500,25
3,27.718157,53.842083,222,80,1,309,500,25
4,27.670934,53.848782,12,90,1,30,500,15
5,27.655592,53.836737,12,90,1,50,500,20
6,27.46816,53.842558,12,90,1,280,700,15
7,27.465252,53.838771,192,80,1,209,750,15
8,27.425404,53.864123,12,90,1,343,500,15
9,27.419783,53.92842,12,90,1,204,750,15
10,27.734454,53.834189,192,80,1,130,600,15
11,27.673337,53.940463,12,90,1,166,500,15
12,27.444958,53.950214,12,90,1,218,500,15
13,27.552863,53.923223,211,50,2,87,120,15
14,27.465353,53.839225,192,70,1,32,400,15
15,27.468215,53.842698,12,90,1,101,600,15
16,27.425657,53.864082,12,90,1,164,500,15
17,27.671084,53.848697,12,90,1,210,500,15
18,27.655967,53.836702,12,90,1,242,500,20
19,27.60376,53.833392,203,90,1,89,600,15
20,27.449094,53.899237,210,30,2,109,150,30
21,27.437807,53.90071,210,30,2,96,200,30
22,27.514905,53.837372,203,90,1,280,600,15
23,27.509068,53.838184,203,90,1,101,600,15
24,27.471539,53.845002,193,60,1,22,500,15
25,27.478754,53.858536,203,60,1,35,500,15
26,27.465638,53.907464,203,60,1,82,500,15
27,27.440924,53.906749,203,60,1,95,500,15
28,27.441165,53.906568,203,60,1,275,500,15
29,27.723431,53.957051,203,80,1,52,600,15
30,27.633549,53.851825,203,60,1,12,500,20
31,27.536577,53.973303,192,100,1,358,500,20
32,27.480219,53.937504,101,60,1,285,200,15
32,27.480219,53.937504,10160,60,1,285,200,15
33,27.502465,53.838558,51,60,1,17,400,15
34,27.541029,53.910632,211,40,1,100,150,25
35,27.544833,53.911643,210,20,1,43,100,35
36,27.540504,53.914775,101,70,1,233,200,15
36,27.540504,53.914775,10170,70,1,233,200,15
37,27.511868,53.930645,193,60,1,106,400,15
38,27.523799,53.924721,193,60,1,139,600,15
39,27.600317,53.932022,193,60,1,25,500,15
40,27.600768,53.932306,193,60,1,212,500,15
41,27.608787,53.942682,193,60,1,32,500,15
42,27.612988,53.946372,193,60,1,213,500,15
43,27.622408,53.961332,101,90,1,300,600,15
43,27.622408,53.961332,10190,90,1,300,600,15
44,27.632128,53.961483,202,70,1,77,400,15
44,27.632128,53.961483,222,70,1,257,400,15
45,23.860342,53.663222,12,60,1,6,300,25
46,23.860464,53.66314,192,60,1,193,500,15
47,27.567342,53.939457,193,50,1,91,350,15
48,27.494016,53.967825,101,90,1,86,600,15
48,27.494016,53.967825,10190,90,1,86,600,15
49,27.536255,53.91067,210,30,1,107,200,30
50,27.536244,53.910639,210,30,1,313,200,30
51,27.609662,53.894137,193,60,1,327,500,15
52,27.544114,53.926643,210,30,2,149,100,15
53,27.535655,53.935168,210,20,2,149,150,15
54,27.533128,53.93757,101,40,1,147,200,15
54,27.533128,53.93757,10140,40,1,147,200,15
55,27.529174,53.938685,101,40,1,303,150,15
55,27.529174,53.938685,10140,40,1,303,150,15
56,27.527152,53.940226,210,30,2,184,100,20
57,27.535966,53.938052,210,30,2,66,150,15
58,27.540316,53.933566,210,30,2,73,100,15
59,27.548459,53.929337,210,30,2,166,150,15
60,27.550771,53.934608,210,20,2,271,150,15
61,29.86305,52.181521,192,60,1,82,500,15
62,27.461368,53.849531,210,20,2,103,150,20
63,27.160608,54.690581,202,60,1,329,500,20
63,27.160608,54.690581,222,60,1,149,500,20
64,27.569048,53.927098,210,30,2,116,200,15
65,27.560041,53.923423,210,30,2,34,200,25
66,27.558973,53.921887,210,30,1,199,300,15
67,27.531084,53.913574,210,30,2,30,200,15
68,27.532066,53.914569,210,30,2,34,200,15
69,27.533026,53.915408,210,30,1,40,150,15
70,27.524888,53.917673,210,30,2,50,200,15
71,27.543164,53.908861,210,30,2,15,200,15
