IDX,X,Y,TYPE,SPEED,DirType,Direction,Distance,Angle // 19.08.2020_OpenSpeedcam =>> 7 Ways v 2.0
1,76.875008,43.201744,211,60,2,77,250,15
2,76.872408,43.201332,211,60,2,76,250,15
3,76.88219,43.203096,211,60,2,74,200,15
4,76.887911,43.204276,211,60,2,74,200,15
5,76.885849,43.202353,211,60,2,166,200,15
6,76.886841,43.199615,192,60,2,165,200,15
7,76.883478,43.209242,211,40,2,166,200,15
8,76.882887,43.210909,211,60,2,165,200,15
9,76.881493,43.215688,211,60,2,170,250,15
10,76.882904,43.221483,211,60,1,233,250,15
11,76.882818,43.221573,211,60,1,52,250,15
12,76.920347,43.231906,211,60,2,81,125,40
13,76.9226,43.232651,211,60,1,46,250,15
14,76.922799,43.232333,211,60,1,254,188,15
15,76.924043,43.228815,211,60,1,163,200,15
16,76.924086,43.228787,211,60,1,326,200,15
17,76.871011,43.220679,211,60,2,134,130,15
18,76.86607,43.224261,211,60,2,135,250,15
19,76.889539,43.20622,211,60,2,171,250,15
20,76.888917,43.209316,211,60,2,171,250,15
21,76.888627,43.210929,211,60,2,173,250,15
22,76.888338,43.212777,211,60,2,174,250,15
23,76.887984,43.214947,211,60,2,174,250,15
24,76.887699,43.21683,211,60,2,175,250,15
25,76.892018,43.221522,211,60,2,174,250,15
26,76.896588,43.223751,211,60,2,174,200,15
27,76.894255,43.225033,211,60,2,84,175,15
28,76.898514,43.225324,211,60,2,84,175,15
29,76.900805,43.228878,211,60,2,175,160,15
30,76.917365,43.231702,211,60,2,84,175,15
31,76.914602,43.236236,211,60,1,275,50,15
32,76.913599,43.236844,211,60,1,161,150,15
33,76.913304,43.237017,211,40,1,246,150,50
34,76.913513,43.23744,211,40,1,37,118,50
35,76.914275,43.237232,211,60,1,148,79,50
36,76.914854,43.236652,211,60,1,104,119,54
37,76.950189,43.228995,211,60,1,174,250,15
38,76.950071,43.228999,211,60,1,357,250,15
39,76.949181,43.235883,211,60,2,174,250,15
40,76.947652,43.248037,211,60,2,175,250,15
41,76.890864,43.230274,211,60,2,174,250,15
42,76.890022,43.236554,211,60,2,174,200,15
43,76.895682,43.233392,211,60,1,174,250,15
44,76.894877,43.233451,211,60,1,355,150,15
45,76.897742,43.235122,211,60,1,84,200,15
46,76.897747,43.235028,211,60,1,265,200,15
47,76.904292,43.23755,211,60,2,175,150,15
48,76.946327,43.258173,211,60,2,175,120,15
49,76.947684,43.260098,211,60,2,84,120,15
50,76.942948,43.259772,211,60,1,264,150,15
51,76.941091,43.258051,211,60,2,174,150,15
52,76.940517,43.26254,211,60,2,175,120,15
53,77.039694,43.336266,202,60,1,210,500,15
53,77.039694,43.336266,222,60,1,30,500,15
54,63.87979,53.290458,223,70,1,209,500,15
55,51.111444,50.824569,212,90,1,190,500,15
56,63.89402,53.305655,223,60,1,212,500,15
57,75.334638,42.849102,211,60,2,102,250,20
58,75.27972,42.857423,101,60,1,275,500,15
58,75.27972,42.857423,10160,60,1,275,500,15
59,83.40543,49.703451,212,30,1,304,300,15
60,51.632902,51.204873,212,50,1,270,300,15
61,51.281419,51.147615,212,50,1,141,300,15
62,51.6364,51.207493,212,50,1,92,300,15
63,51.617601,51.205076,212,50,1,91,300,15
64,51.281301,51.148351,212,50,1,21,300,15
65,73.215431,49.956614,212,40,1,205,250,20
66,73.216969,49.956879,212,40,1,27,250,20
67,51.352496,51.21537,212,40,1,168,250,15
68,51.352657,51.21556,212,40,1,73,250,15
69,51.128971,43.671277,212,40,1,62,250,15
70,51.366852,51.212497,194,60,1,346,200,15
71,51.367443,51.212335,194,60,1,77,200,15
72,51.374303,51.216046,194,40,1,166,250,15
73,51.37402,51.21625,194,60,1,74,250,15
74,51.37409,51.21618,194,60,1,254,250,15
75,51.37404,51.21627,194,40,1,346,250,15
76,71.368224,51.148282,194,60,1,22,250,15
77,71.368228,51.147802,194,60,1,200,250,15
78,71.367833,51.148088,194,60,1,295,250,15
79,71.36866,51.147989,194,60,1,113,250,15
80,71.409565,51.163396,194,60,1,350,200,15
81,71.409864,51.163002,194,60,1,169,200,15
82,71.41009,51.163237,194,60,1,78,180,15
83,71.409355,51.163106,194,60,1,259,180,15
84,71.40751,51.134582,194,60,1,12,200,30
85,71.407918,51.134349,194,60,1,102,200,20
86,71.40702,51.134394,194,60,1,284,250,15
87,71.427749,51.16557,194,60,1,78,150,20
88,71.426923,51.165389,194,60,1,259,130,20
89,71.427127,51.165739,194,60,1,350,150,15
90,71.427416,51.165291,194,60,1,171,110,15
91,71.411341,51.116385,194,60,1,8,200,15
92,71.412233,51.118376,194,40,1,103,160,15
93,71.411443,51.115971,194,60,1,186,200,15
94,71.411033,51.116177,194,60,1,283,200,15
95,71.411703,51.116179,194,60,1,103,200,15
96,71.41176,51.1187,194,60,1,6,150,15
97,71.411821,51.118157,194,60,1,187,150,15
98,71.45281,51.15561,194,60,1,319,150,45
99,71.445617,51.14171,194,60,1,88,220,15
100,71.445129,51.141831,194,60,1,357,250,15
101,71.454122,51.119614,194,60,1,30,150,45
102,71.453742,51.119238,194,60,1,285,200,15
103,71.454405,51.119323,194,60,1,104,200,15
104,71.471403,51.163498,194,60,1,296,150,25
105,71.47197,51.163535,194,60,1,48,150,30
106,71.475444,51.165215,194,60,1,115,200,15
107,71.47522,51.165509,194,60,1,30,200,20
108,71.474876,51.165121,194,60,1,227,200,15
109,71.470413,51.148868,194,60,1,154,150,20
110,71.47056,51.149043,194,60,1,67,150,25
111,71.469799,51.149013,194,60,1,269,150,15
112,71.482242,51.149227,194,60,1,245,150,20
113,71.495277,51.131612,194,60,1,335,240,20
114,71.504226,51.147651,194,60,1,121,150,15
115,71.50372,51.147481,194,60,1,227,150,54
116,71.503582,51.147835,194,60,1,301,200,15
117,71.503927,51.147881,194,60,1,30,150,15
118,76.947456,43.249721,194,60,1,175,250,15
119,51.367255,51.211917,194,60,1,166,200,15
120,51.366531,51.212092,194,60,1,254,200,15
121,71.407473,51.134143,194,60,1,195,200,30
122,71.471444,51.163184,194,60,1,229,200,15
123,71.469999,51.149265,194,60,1,336,250,15
124,71.495744,51.131207,194,60,1,155,220,15
125,76.94737,43.24987,194,60,1,354,350,20
126,51.13062,43.67185,192,60,1,65,150,15
127,51.30413,51.17814,192,50,1,212,500,15
128,51.37203,51.29203,192,40,1,135,500,15
129,51.36313,51.19691,192,60,1,154,350,15
130,63.605183,53.181852,192,60,1,204,450,15
131,71.3872,51.17017,192,60,1,123,200,10
132,71.379989,51.147635,192,60,1,70,250,10
133,71.38019,51.14745,192,60,1,252,300,10
134,71.381427,51.130071,192,60,1,101,500,15
135,71.37924,51.13017,192,60,1,281,500,15
136,71.39952,51.19647,192,40,1,297,150,15
137,71.39942,51.17554,192,40,1,105,250,20
138,71.410903,51.175975,194,60,1,350,250,15
139,71.399124,51.168275,194,60,1,79,300,15
140,71.39827,51.17552,192,60,1,287,340,15
141,71.41097,51.15887,192,60,1,350,210,15
142,71.409783,51.140426,192,60,1,14,350,15
143,71.409951,51.140428,192,60,1,194,350,15
144,71.406916,51.101389,192,60,1,13,500,15
145,71.400346,51.099386,192,60,1,103,370,10
146,71.3907,51.0879,192,60,1,193,500,10
147,71.39032,51.08763,192,60,1,13,500,10
148,71.428867,51.177698,192,60,1,260,270,15
149,71.41179,51.156505,192,60,1,173,500,15
150,71.432586,51.155053,192,60,1,41,500,15
151,71.4312,51.15417,192,60,1,337,250,20
152,71.431721,51.154078,192,60,1,131,300,15
153,71.429195,51.152652,192,60,1,41,500,15
154,71.419033,51.141713,192,60,1,23,500,15
155,71.412387,51.148631,192,60,1,2,410,15
156,71.418966,51.141542,192,60,1,202,490,20
157,71.426882,51.150837,192,60,1,222,500,15
158,71.42528,51.1349,192,60,1,105,350,15
159,71.42486,51.13485,192,60,1,285,350,15
160,71.41234,51.121706,192,60,1,6,420,15
161,71.43274,51.1225,192,60,1,283,500,15
162,71.43223,51.122791,192,60,1,104,500,15
163,71.43363,51.15569,192,60,1,222,500,15
164,71.44844,51.15305,192,60,1,58,150,10
165,71.449598,51.153383,192,60,1,239,300,20
166,71.445017,51.143248,192,60,1,357,450,15
167,71.44538,51.120771,192,60,1,104,400,15
168,71.44483,51.12062,192,60,1,285,250,10
169,71.453237,51.104292,192,60,1,310,350,25
170,71.476217,51.198139,192,60,1,236,400,15
171,71.475438,51.198009,192,60,1,55,400,15
172,71.464809,51.159062,192,60,1,245,300,15
173,71.466764,51.156698,192,60,1,176,200,25
174,71.459522,51.118345,192,60,1,284,350,15
175,71.456666,51.102503,192,60,1,131,450,15
176,71.498922,51.167751,192,70,1,301,500,15
177,71.47924,51.16404,192,60,1,298,300,15
178,71.496771,51.145336,192,60,1,65,500,15
